id,property,ownerSeller,REA,sold,viewsCount
5,Oahu Gardenia,hamilton_kamen,fanny_emps,1,73
6,Apetalous Sandwort,dianne_mckimmey,lionel_klulisek,0,81
7,Baldwin's Eryngo,arlyn_smeal,cesaro_gue,0,93
8,Hawai'i Stingingnettle,doria_hattigan,mata_thynne,1,31
9,Lilac Chastetree,hamilton_kamen,regina_faltin,1,12
10,Reznicek's Sedge,fidelity_beevor,culley_curnokk,1,81
11,Sand Dropseed,dianne_mckimmey,cece_brandenberg,1,50
12,Western Halfchaff Sedge,fidelity_beevor,harrietta_donald,0,109
13,Stiff Sedge,seumas_draysey,forester_piens,1,65
14,Cold-desert Phlox,richmound_timny,milty_kikke,1,39
15,Setariopsis,horton_newns,cleve_rodgers,1,88
16,Hypnum Moss,doria_hattigan,valene_barden,1,14
17,Lecidea Lichen,karna_lefridge,nettle_noirel,1,20
18,Tall Threeawn,atlanta_matityahu,culley_curnokk,0,118
19,Longstalk Clover,horton_newns,cleve_rodgers,1,32
20,Florist's Daisy,maura_roxburch,cesaro_gue,1,74
21,Woolly Brome,seumas_draysey,cleve_rodgers,0,57
22,Polar Willow,fidelity_beevor,harrietta_donald,0,22
23,Rose Gentian,richmound_timny,cesaro_gue,1,104
24,Huachuca Xanthoparmelia Lichen,atlanta_matityahu,valene_barden,1,82
25,Puu Kuhui,mellie_de aguirre,gawain_manthorpe,1,78
26,Plateau Phacelia,trever_mendonca,jacenta_attew,1,26
27,Kidneyleaf Rosinweed,arlyn_smeal,ardys_jell,0,43
28,Angularfruit Ma'oloa,rasia_gorriessen,lenard_ruspine,0,10
29,Tenlobe False Foxglove,trever_mendonca,mata_thynne,0,73
30,Woolly Cottonflower,nada_gopsill,carmon_sedgemond,0,68
31,False Toadflax,lindon_crepel,camey_spottswood,0,87
32,Osterhout's Lupine,kendall_soame,culley_curnokk,0,74
33,Scurfpea,arlyn_smeal,nettle_noirel,1,76
34,Redflower Bird's-foot Trefoil,doria_hattigan,camey_spottswood,0,93
35,Arizona False Goldenaster,rasia_gorriessen,dagmar_crathorne,1,91
36,Gundlachia,fidelity_beevor,harrietta_donald,0,107
37,Pyrenocollema Lichen,leslie_rabbitt,carmon_sedgemond,0,79
38,Chiodecton Lichen,karna_lefridge,camey_spottswood,0,33
39,Showy Draba,rasia_gorriessen,bea_brandon,0,68
40,Wavyleaf Indian Paintbrush,kendall_soame,jolie_ikringill,0,34
41,Cicercha Purpurina,kendall_soame,caroline_trembley,0,102
42,Piedmont Flatsedge,rasia_gorriessen,malchy_paquet,1,63
43,Pitted Stripeseed,gabi_margery,harrietta_donald,1,46
44,Bog Stitchwort,kendall_soame,bard_gresham,1,88
45,Northland Cottonsedge,trever_mendonca,carmon_sedgemond,0,88
46,Silverskin Lichen,hamilton_kamen,ardys_jell,0,37
47,Arizona Signalgrass,richmound_timny,lionel_klulisek,1,6
48,Cliff Bedstraw,isador_gann,valene_barden,0,25
49,Mountain Xanthoparmelia Lichen,trever_mendonca,jacenta_attew,0,59
50,Watergrass,atlanta_matityahu,milty_kikke,0,114
51,Cape Thompson Draba,kris_bellward,bea_brandon,1,15
52,Spiritweed,richmound_timny,berthe_shackle,1,118
53,Island Tonguefern,fidelity_beevor,carmon_sedgemond,1,51
54,Jones' Columbine,trever_mendonca,bea_brandon,0,63
55,Southern Rockbell,fidelity_beevor,berthe_shackle,0,49
56,Bog White Violet,karna_lefridge,culley_curnokk,0,58
57,Oceanspray,mellie_de aguirre,kelley_langabeer,0,12
58,Pale Desert-thorn,mellie_de aguirre,valene_barden,1,93
59,Cordgrass,kendall_soame,dagmar_crathorne,0,17
60,Pennsylvania Clubmoss,horton_newns,fanny_emps,0,52
61,Pricklypear,nicol_duro,kelley_langabeer,0,14
62,Shrubland Beggarticks,arlyn_smeal,forester_piens,1,115
63,Toadshade,seumas_draysey,mata_thynne,1,118
64,Maui Islandmint,mellie_de aguirre,berthe_shackle,0,114
65,Mourning Milkvetch,nada_gopsill,marcie_mcgrann,1,45
66,Ware's Hairsedge,arlyn_smeal,lenard_ruspine,1,8
67,Dot Lichen,karna_lefridge,cece_brandenberg,1,77
68,Round-head Clover,leslie_rabbitt,carmon_sedgemond,0,65
69,Cornflag,atlanta_matityahu,addie_weddell,0,88
70,Small Wirelettuce,lindon_crepel,corie_gilhooly,0,46
71,Horse-gentian,nada_gopsill,carmon_sedgemond,1,102
72,Brown Sedge,dianne_mckimmey,bard_gresham,0,117
73,Brazilian Pricklypear,leslie_rabbitt,kelley_langabeer,1,104
74,Beard Lichen,hamilton_kamen,harrietta_donald,1,83
75,Peniocereus,seumas_draysey,berthe_shackle,1,54
76,Honeycup,mellie_de aguirre,addie_weddell,1,86
77,Earth Lichen,fidelity_beevor,bea_brandon,1,34
78,Ashland Cinquefoil,nicol_duro,jolie_ikringill,0,75
79,Dwarf Cupflower,arlyn_smeal,marcie_mcgrann,1,100
80,Royal Snoutbean,dianne_mckimmey,gawain_manthorpe,1,34
81,Palo De Hueso,doria_hattigan,caroline_trembley,1,90
82,Whiskerbrush,tomi_wickes,lenard_ruspine,1,11
83,Fraser's Marsh St. Johnswort,hernando_leggitt,harrietta_donald,0,61
84,Evergreen Clematis,lindon_crepel,harrietta_donald,0,12
85,Hoary Blackfoot,erny_myhill,caroline_trembley,0,43
86,Inflated Grasswidow,kristen_blindmann,carmon_sedgemond,1,68
87,Sprawling Dewberry,alfonso_nansom,nettle_noirel,1,62
88,Canada Germander,hamilton_kamen,mata_thynne,1,20
89,Snow Lichen,charissa_panchin,jacenta_attew,0,29
90,Desert Combleaf,horton_newns,mata_thynne,0,51
91,Flyr's Brickellbush,fidelity_beevor,harrietta_donald,1,119
92,Nikko Fir,kendall_soame,fanny_emps,0,77
93,Ballhead Ipomopsis,hamilton_kamen,forester_piens,0,109
94,Little Sagebrush,nada_gopsill,bea_brandon,0,31
95,Cavedwelling Primrose,kris_bellward,nettle_noirel,0,72
96,Michaux's Wormwood,kristen_blindmann,forester_piens,0,117
97,Star Gentian,mellie_de aguirre,jolie_ikringill,1,115
98,Viburnum,charissa_panchin,valene_barden,0,41
99,Alpine Bearberry,kendall_soame,gawain_manthorpe,0,38
100,Curlyheads,fidelity_beevor,carmon_sedgemond,0,112
101,Serpentine Ragwort,horton_newns,cece_brandenberg,1,72
102,European Feather Grass,kris_bellward,loree_zahor,1,86
103,Goosefoot Violet,kris_bellward,regina_faltin,1,31
104,Attalea Palm,mellie_de aguirre,malchy_paquet,0,60
